"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
15,15,7,7,7,15,15,9,8,15,8,15,15,7,15,15,21,9,9,15,9,8,10,9,9,15,15,9,15,9,15,15,15,15,15,15,15,9,15,15,15,7,15,7,15,15,9,10,15,9,9,15,15,15,9,15,15,7,15,15,15,15,15,15,8,7,15,9,15,15,15,9,15,15,9,8,15,15,15,2,7,15,9,15,15,8,15,7,9,15,15,15,15,15,15,9,15,15,8,8
25,25,15,15,10,25,25,15,15,25,15,25,25,15,25,25,25,15,15,19,15,25,15,15,15,25,25,15,25,15,25,19,25,25,21,25,25,25,43,25,25,15,27,15,25,25,15,15,25,15,15,25,21,25,15,25,25,15,25,25,25,33,25,25,15,15,25,15,25,25,25,15,25,25,15,15,25,25,25,7,15,25,15,25,25,15,25,15,15,25,25,25,25,25,25,15,25,25,15,15
33,43,19,25,15,43,43,25,25,43,19,27,43,25,33,33,43,25,25,25,33,33,43,25,25,43,27,27,27,25,33,25,27,43,25,27,43,27,69,43,27,25,43,25,43,43,25,25,33,25,25,43,25,33,25,33,43,25,43,43,27,43,43,31,25,25,27,25,27,43,33,25,35,43,25,25,43,27,27,15,25,27,25,43,27,27,35,25,25,27,43,43,27,35,43,33,43,27,25,25
43,57,25,43,25,53,57,43,43,57,25,43,49,43,35,43,53,43,43,43,43,43,57,43,43,69,43,43,43,43,43,43,43,57,27,33,57,43,82,57,43,27,57,33,57,49,27,43,43,27,27,57,43,43,43,43,57,43,57,69,43,69,57,43,43,43,43,43,43,57,43,43,43,69,43,43,57,38,33,25,27,43,27,49,43,43,43,43,43,43,57,57,43,43,69,43,69,33,43,27
53,69,33,53,43,57,69,54,57,69,43,53,69,57,43,53,57,57,57,49,57,57,69,57,57,82,53,57,57,57,53,57,57,69,43,43,69,53,97,69,57,33,69,43,69,69,33,57,69,43,43,69,57,57,57,53,69,57,69,85,57,97,69,57,57,57,69,53,49,69,57,53,57,97,57,53,69,43,43,27,33,69,33,69,49,53,57,69,53,49,69,69,57,57,97,57,97,43,69,43
69,97,43,57,53,69,97,57,69,82,53,57,82,69,53,57,69,69,69,57,69,69,86,69,69,97,57,69,69,69,69,69,69,97,69,57,82,69,102,97,69,43,97,57,97,97,43,69,82,57,57,97,69,69,69,57,82,69,97,97,69,102,97,69,69,69,97,69,57,97,69,57,69,102,69,57,97,57,53,43,43,86,43,97,53,57,69,82,69,57,82,97,69,69,102,69,102,57,97,53
97,102,57,69,57,82,102,69,82,97,69,69,97,97,57,69,97,82,82,69,82,97,97,82,86,119,69,97,97,85,97,82,97,102,97,69,97,76,104,102,97,57,104,69,102,102,57,97,97,69,69,102,82,82,86,69,97,72,102,102,72,115,104,82,97,97,102,82,69,102,82,69,97,104,97,69,102,69,57,69,57,97,69,102,57,69,82,97,82,69,97,102,82,86,104,97,104,69,102,57
102,104,69,82,69,86,104,97,97,121,97,97,102,104,69,97,102,97,97,82,86,104,102,97,97,136,88,104,102,97,102,97,102,104,104,70,102,97,119,104,102,69,136,97,104,104,69,102,102,97,97,104,96,97,97,97,102,97,104,119,82,119,119,97,102,102,104,97,97,104,97,82,119,119,102,97,104,82,69,72,69,102,85,104,69,97,97,102,97,97,102,104,88,97,119,104,119,97,104,69
104,119,97,94,97,88,119,102,102,136,102,102,104,119,97,119,104,102,101,86,97,119,104,102,102,167,97,119,104,102,104,102,104,119,106,97,104,102,136,119,104,86,167,104,119,121,97,104,104,102,104,136,97,104,102,104,136,102,119,136,97,136,136,102,104,119,119,104,102,136,102,97,136,136,104,104,136,97,97,97,97,104,97,136,97,102,102,104,102,102,104,108,97,102,136,119,136,102,119,82
119,136,119,97,104,97,136,104,104,167,104,104,119,136,104,136,119,104,104,97,119,136,108,104,104,169,102,136,119,104,119,119,119,136,119,102,119,104,167,136,119,97,169,119,136,136,119,119,119,119,119,167,102,119,108,119,142,104,136,167,102,167,167,104,119,136,136,111,104,167,104,102,167,167,119,119,140,102,102,102,102,105,111,167,102,104,104,113,104,119,119,119,102,104,167,136,167,104,121,86
136,145,136,102,119,102,167,111,119,169,108,119,136,167,119,167,136,119,136,102,136,155,119,119,119,173,104,167,136,119,136,136,130,167,136,104,136,119,169,167,136,102,173,136,167,167,136,136,136,136,121,169,104,136,119,121,167,136,140,169,104,169,169,119,136,167,167,113,136,169,115,104,169,168,121,136,167,119,104,104,104,119,119,169,104,119,119,119,119,121,136,136,104,119,169,140,169,119,136,97
167,167,167,104,130,104,169,119,136,173,119,136,167,169,136,169,167,136,152,104,167,167,136,121,136,178,115,169,167,136,167,167,136,169,167,119,152,136,173,169,167,104,178,167,169,169,167,167,167,167,136,173,119,139,136,136,169,167,167,173,119,173,173,136,167,169,169,119,167,173,119,119,171,169,136,167,169,136,119,136,119,121,136,173,136,136,130,136,130,136,167,167,119,136,173,167,171,136,139,102
169,169,169,119,136,119,173,136,167,178,136,167,169,173,167,173,169,167,167,136,169,169,167,136,167,183,119,173,169,167,169,169,140,173,169,136,167,167,178,173,169,136,179,169,173,173,169,169,169,169,167,178,136,167,167,167,173,169,169,178,136,178,178,167,169,173,173,136,169,178,121,136,173,173,167,169,173,167,136,167,136,136,167,178,167,167,136,167,136,167,169,169,121,139,178,169,173,155,167,104
173,171,173,136,140,136,178,167,169,183,140,168,173,178,169,178,173,169,169,167,173,173,169,167,169,184,136,178,173,169,173,173,167,178,173,167,169,169,179,178,173,155,183,173,178,178,173,179,173,173,169,183,167,169,169,169,178,173,173,179,152,183,183,169,173,178,178,167,171,183,136,167,178,178,169,173,178,169,167,169,167,167,169,179,169,169,167,169,167,169,171,173,136,167,179,173,178,167,169,119
